key,model,effort,api_input_tokens,api_output_tokens,reasoning_tokens,visible_output_tokens,cost_usd,path,company,doc_type,doc_tokens
data/filings/Northbridge Systems/2019-05-31_10-K.txt|gpt-5.5|medium|510cf16a99da,gpt-5.5,medium,6046,1436,407,1029,0.07331,/home/kavin-ravi/CodingStuff/quant_finance_project/api_cost/data/filings/Northbridge Systems/2019-05-31_10-K.txt,Northbridge Systems,10-K,6025.0
data/filings/Northbridge Systems/2065-08-03_10-K.txt|gpt-5.5|medium|510cf16a99da,gpt-5.5,medium,6046,1659,317,1342,0.08,/home/kavin-ravi/CodingStuff/quant_finance_project/api_cost/data/filings/Northbridge Systems/2065-08-03_10-K.txt,Northbridge Systems,10-K,6025.0
data/filings/Northbridge Systems/2061-03-25_10-K_4.txt|gpt-5.5|medium|510cf16a99da,gpt-5.5,medium,8286,1940,458,1482,0.09963,/home/kavin-ravi/CodingStuff/quant_finance_project/api_cost/data/filings/Northbridge Systems/2061-03-25_10-K_4.txt,Northbridge Systems,10-K,8265.0
data/filings/Northbridge Systems/2019-02-28_10-Q.txt|gpt-5.5|medium|510cf16a99da,gpt-5.5,medium,1768,1517,418,1099,0.054349999999999996,/home/kavin-ravi/CodingStuff/quant_finance_project/api_cost/data/filings/Northbridge Systems/2019-02-28_10-Q.txt,Northbridge Systems,10-Q,1747.0
data/filings/Northbridge Systems/2024-05-31_10-Q.txt|gpt-5.5|medium|510cf16a99da,gpt-5.5,medium,1768,1799,516,1283,0.06281,/home/kavin-ravi/CodingStuff/quant_finance_project/api_cost/data/filings/Northbridge Systems/2024-05-31_10-Q.txt,Northbridge Systems,10-Q,1747.0
data/filings/Northbridge Systems/2065-09-26_10-Q.txt|gpt-5.5|medium|510cf16a99da,gpt-5.5,medium,1768,1231,189,1042,0.045770000000000005,/home/kavin-ravi/CodingStuff/quant_finance_project/api_cost/data/filings/Northbridge Systems/2065-09-26_10-Q.txt,Northbridge Systems,10-Q,1747.0
data/filings/Northbridge Systems/unknown_8-K_3.txt|gpt-5.5|medium|510cf16a99da,gpt-5.5,medium,279,348,84,264,0.011835,/home/kavin-ravi/CodingStuff/quant_finance_project/api_cost/data/filings/Northbridge Systems/unknown_8-K_3.txt,Northbridge Systems,8-K,258.0
data/filings/Northbridge Systems/2021-12-20_8-K.txt|gpt-5.5|medium|510cf16a99da,gpt-5.5,medium,285,327,91,236,0.011234999999999998,/home/kavin-ravi/CodingStuff/quant_finance_project/api_cost/data/filings/Northbridge Systems/2021-12-20_8-K.txt,Northbridge Systems,8-K,264.0
data/filings/Northbridge Systems/2025-12-10_8-K.txt|gpt-5.5|medium|510cf16a99da,gpt-5.5,medium,575,392,131,261,0.014634999999999999,/home/kavin-ravi/CodingStuff/quant_finance_project/api_cost/data/filings/Northbridge Systems/2025-12-10_8-K.txt,Northbridge Systems,8-K,554.0
data/news/The_Camden_Chronicle/camden_2023-05-26_tell-us-has-your-uk-energy-supplier-back-billed-you-by-more--097cc2.pdf|gpt-5.5|medium|510cf16a99da,gpt-5.5,medium,334,498,166,332,0.01661,/home/kavin-ravi/CodingStuff/quant_finance_project/api_cost/data/news/The_Camden_Chronicle/camden_2023-05-26_tell-us-has-your-uk-energy-supplier-back-billed-you-by-more--097cc2.pdf,The_Camden_Chronicle,news,313.0
data/news/The_Camden_Chronicle/camden_2020-12-02_covid-crisis-offers-a-chance-to-act-on-climate-report-says-15480d.pdf|gpt-5.5|medium|510cf16a99da,gpt-5.5,medium,1042,815,149,666,0.02966,/home/kavin-ravi/CodingStuff/quant_finance_project/api_cost/data/news/The_Camden_Chronicle/camden_2020-12-02_covid-crisis-offers-a-chance-to-act-on-climate-report-says-15480d.pdf,The_Camden_Chronicle,news,1021.0
data/news/The_Camden_Chronicle/camden_2019-08-23_hasbro-buys-peppa-pig-owner-entertainment-one-in-3-3bn-deal-442297.pdf|gpt-5.5|medium|510cf16a99da,gpt-5.5,medium,1885,1111,516,595,0.042755,/home/kavin-ravi/CodingStuff/quant_finance_project/api_cost/data/news/The_Camden_Chronicle/camden_2019-08-23_hasbro-buys-peppa-pig-owner-entertainment-one-in-3-3bn-deal-442297.pdf,The_Camden_Chronicle,news,1864.0
